reaction,healthy_only,covid_only,shared,n_healthy_active,n_covid_active
HMR_4085,False,False,True,5,4
HMR_4086,False,False,True,5,4
HMR_4135,False,False,True,5,4
HMR_4168,False,False,True,5,2
HMR_4171,False,False,True,5,4
HMR_4406,False,False,True,5,3
HMR_4412,False,False,True,5,4
HMR_4417,False,False,True,5,4
HMR_4418,False,False,True,5,3
HMR_4419,False,False,True,5,3
HMR_4421,False,False,True,5,4
HMR_4449,False,False,True,5,4
HMR_4451,False,False,True,5,4
HMR_4452,False,False,True,5,3
HMR_4453,False,False,True,5,4
HMR_4480,False,False,True,5,4
HMR_4481,False,False,True,3,1
HMR_4482,False,False,True,3,1
HMR_4486,False,False,True,4,4
HMR_4487,False,False,True,4,4
HMR_4488,False,False,True,4,4
HMR_4489,False,False,True,4,4
HMR_4492,False,False,True,4,4
HMR_4493,False,False,True,4,4
HMR_4518,False,False,True,3,1
HMR_4519,False,False,True,5,4
HMR_4520,False,False,False,0,0
HMR_4573,False,False,True,5,4
HMR_4574,False,False,True,5,4
HMR_4600,False,False,True,5,2
HMR_4602,False,False,True,5,4
HMR_4603,False,False,True,5,4
HMR_4611,False,False,True,1,3
HMR_4612,False,False,True,2,2
HMR_4614,False,True,False,0,2
HMR_4615,False,True,False,0,1
HMR_4617,False,False,True,1,4
HMR_4618,False,False,False,0,0
HMR_4619,False,False,True,4,1
HMR_4621,False,False,False,0,0
HMR_4632,False,False,True,5,4
HMR_4646,False,False,True,1,4
HMR_4648,False,False,True,5,4
HMR_4649,False,False,False,0,0
HMR_4650,False,False,False,0,0
HMR_4651,False,False,True,5,4
HMR_4663,False,False,True,5,4
HMR_4664,False,False,True,5,3
HMR_4694,False,False,True,3,1
HMR_4695,False,False,True,5,4
HMR_4705,False,False,True,5,4
HMR_4709,False,False,True,5,4
HMR_4799,False,False,True,5,3
HMR_4802,False,False,True,5,3
HMR_4804,False,False,True,5,2
HMR_4808,False,False,True,5,3
HMR_4810,False,False,True,5,2
HMR_4812,False,False,True,4,4
HMR_4814,False,False,True,5,4
HMR_5301,False,True,False,0,1
HMR_5353,False,False,True,5,4
HMR_6602,False,False,True,5,4
HMR_6603,False,False,True,5,4
HMR_6605,False,False,True,5,4
HMR_6606,False,False,True,5,4
HMR_6607,False,False,True,5,4
HMR_6610,False,False,True,5,4
HMR_6611,False,False,True,5,4
HMR_7144,False,False,True,5,3
HMR_8755,False,False,False,0,0
HMR_9797,False,False,False,0,0
HMR_4016,False,False,True,5,4
HMR_4018,False,False,True,5,4
HMR_4044,False,False,True,5,4
HMR_4291,False,False,True,5,4
HMR_4420,False,False,True,5,4
HMR_4570,False,False,True,5,4
HMR_4572,False,False,True,5,4
HMR_4006,False,False,True,5,4
HMR_4028,False,False,True,5,4
HMR_4030,False,False,True,5,4
HMR_4670,False,False,True,5,4
HMR_4673,False,False,True,5,4
HMR_4675,False,False,True,5,4
HMR_6614,False,False,True,5,4
HMR_6615,False,False,True,5,4
HMR_6616,False,False,True,5,4
HMR_4635,False,False,True,5,4
HMR_3793,False,False,True,2,1
HMR_3931,False,False,True,5,4
HMR_3969,False,False,True,1,2
HMR_3970,False,False,True,5,4
HMR_4008,False,False,True,5,4
HMR_4032,False,False,True,4,2
HMR_4034,False,False,True,5,4
HMR_4036,False,False,False,0,0
HMR_4050,False,False,True,5,4
HMR_4056,False,False,True,5,4
HMR_4059,False,False,True,5,4
HMR_4060,False,False,True,5,4
HMR_4127,False,False,True,5,2
HMR_4177,False,False,True,5,4
HMR_4179,False,False,True,5,4
HMR_4182,False,False,True,5,4
HMR_4183,False,False,True,5,4
HMR_4192,False,False,True,5,4
HMR_4194,False,False,True,5,4
HMR_4210,False,False,True,5,4
HMR_4211,False,False,True,5,3
HMR_4343,False,False,True,3,2
HMR_4345,False,False,True,3,3
HMR_4346,False,False,True,5,4
HMR_4470,False,False,True,3,3
HMR_4471,False,False,True,5,4
HMR_4472,False,False,True,3,3
HMR_4484,False,False,True,5,4
HMR_4485,False,False,True,5,4
HMR_4510,False,False,True,5,4
HMR_4512,False,False,True,5,4
HMR_4513,False,False,True,2,4
HMR_4514,False,False,True,4,1
HMR_4577,False,False,True,3,3
HMR_4579,False,False,True,5,4
HMR_4580,False,False,True,4,1
HMR_4608,False,False,True,5,4
HMR_4575,False,False,True,3,3
HMR_4637,False,False,True,4,3
HMR_4642,False,False,True,5,2
HMR_4643,False,False,True,5,3
HMR_4644,False,False,True,5,4
HMR_4672,False,False,False,0,0
HMR_4676,False,False,False,0,0
HMR_4736,False,False,True,5,4
HMR_4819,False,False,True,2,4
HMR_5299,False,False,True,2,1
HMR_5352,False,True,False,0,1
HMR_6612,False,False,True,5,4
HMR_6621,False,False,True,2,3
HMR_6622,False,False,False,0,0
HMR_6623,False,False,False,0,0
HMR_6624,False,False,False,0,0
HMR_6627,False,False,True,5,4
HMR_8072,False,False,True,5,4
HMR_3965,False,False,True,5,3
HMR_3966,False,False,True,5,2
HMR_3967,False,False,True,5,4
HMR_3968,False,False,True,5,4
HMR_3999,False,False,True,2,2
HMR_4024,False,False,True,5,4
HMR_4026,False,True,False,0,2
HMR_4054,False,False,True,4,3
HMR_4061,False,False,True,5,4
HMR_4083,False,False,True,5,4
HMR_4180,False,False,False,0,0
HMR_4185,False,False,True,5,4
HMR_4186,False,False,True,5,4
HMR_4344,False,False,True,5,4
HMR_4483,False,False,True,2,1
HMR_4507,False,False,True,5,4
HMR_4516,False,False,True,5,2
HMR_4601,False,False,True,5,2
HMR_4633,False,False,True,3,1
HMR_4640,False,False,True,4,3
HMR_4641,False,False,False,0,0
HMR_4680,False,False,True,5,4
HMR_4806,False,False,True,5,3
HMR_5394,False,False,False,0,0
HMR_6625,False,False,False,0,0
HMR_6626,False,False,True,5,2
HMR_7160,False,False,True,5,4
HMR_7161,False,False,False,0,0
HMR_7162,False,False,True,5,4
HMR_7163,False,False,False,0,0
HMR_7164,False,False,False,0,0
HMR_7713,False,False,True,5,4
HMR_7716,False,False,True,5,4
HMR_7717,False,False,True,5,4
HMR_7721,False,False,True,5,4
HMR_7725,False,False,True,5,4
HMR_7728,False,False,True,5,4
HMR_7800,False,False,False,0,0
HMR_7801,False,False,True,5,4
HMR_7802,False,False,False,0,0
HMR_7863,False,False,True,5,4
HMR_7864,False,False,True,5,4
HMR_7865,False,False,True,5,4
HMR_7866,False,False,True,5,4
HMR_7867,False,False,True,5,4
HMR_7868,False,False,True,5,4
HMR_7869,False,False,True,5,4
HMR_7870,False,False,True,5,4
HMR_7871,False,False,True,5,4
HMR_7872,False,False,True,5,4
HMR_7873,False,False,True,5,4
HMR_7874,False,False,True,5,4
HMR_7875,False,False,True,5,4
HMR_7876,False,False,True,5,4
HMR_7878,False,False,True,5,4
HMR_7881,False,False,True,5,4
HMR_7882,False,False,True,5,4
HMR_7883,False,False,True,5,4
HMR_7884,False,False,True,5,4
HMR_7885,False,False,True,5,4
HMR_7886,False,False,True,5,4
HMR_7887,False,False,True,5,4
HMR_7888,False,False,True,5,4
HMR_7889,False,False,True,5,4
HMR_7890,False,False,True,5,4
HMR_7891,False,False,True,5,4
HMR_7892,False,False,True,5,4
HMR_7893,False,False,True,5,4
HMR_8083,False,False,True,5,4
HMR_8085,False,False,True,5,4
HMR_8087,False,False,True,5,4
HMR_8445,False,False,False,0,0
HMR_8446,False,False,False,0,0
HMR_8448,False,False,True,5,4
HMR_8449,False,False,True,5,4
HMR_8450,False,False,True,5,4
HMR_8451,False,False,True,5,4
HMR_8452,False,False,True,5,4
HMR_8453,False,False,True,5,4
HMR_8454,False,False,True,5,4
HMR_8455,False,False,True,5,4
HMR_8456,False,False,True,5,4
HMR_8457,False,False,True,5,4
HMR_8458,False,False,True,5,4
HMR_8459,False,False,True,5,4
HMR_8460,False,False,True,5,4
HMR_8461,False,False,False,0,0
HMR_8462,False,False,True,5,4
HMR_8463,False,False,True,5,4
HMR_8464,False,False,True,5,4
HMR_8465,False,False,True,5,4
HMR_8466,False,False,True,5,4
HMR_8467,False,False,True,5,4
HMR_8468,False,False,True,5,4
HMR_8469,False,False,True,5,4
HMR_8470,False,False,True,5,4
HMR_8471,False,False,True,5,4
HMR_8472,False,False,True,5,4
HMR_8473,False,False,True,3,1
HMR_8474,False,False,True,5,4
HMR_8477,False,False,True,2,4
HMR_8478,False,False,True,2,4
HMR_8479,False,False,True,3,4
HMR_8480,False,False,False,0,0
HMR_8481,False,False,True,3,3
HMR_8482,False,False,False,0,0
HMR_8483,False,False,True,5,3
HMR_8485,False,False,True,5,4
HMR_8486,False,False,True,5,4
HMR_8487,False,False,True,5,4
HMR_3802,False,False,True,5,4
HMR_3804,False,False,True,5,4
HMR_3811,False,False,True,5,4
HMR_3813,False,False,True,5,4
HMR_3822,False,False,True,4,1
HMR_3827,False,False,True,5,4
HMR_3829,False,False,True,5,4
HMR_3831,False,False,True,5,2
HMR_3862,False,False,True,5,2
HMR_3865,False,False,True,5,4
HMR_3870,False,False,True,3,4
HMR_3873,False,False,True,2,1
HMR_8654,False,False,True,2,1
HMR_3890,False,False,True,5,4
HMR_3892,False,False,True,4,3
HMR_9802,True,False,False,1,0
HMR_3899,False,False,True,4,2
HMR_3903,False,False,True,4,3
HMR_4109,False,False,True,2,3
HMR_4114,False,False,True,2,2
HMR_4115,False,False,True,2,1
HMR_4118,False,True,False,0,4
HMR_4172,False,False,True,5,2
HMR_4196,False,False,True,5,4
HMR_4197,False,False,True,3,2
HMR_4287,False,False,True,5,4
HMR_4690,True,False,False,4,0
HMR_4693,False,False,True,5,4
HMR_6780,False,False,True,5,4
HMR_6969,False,False,True,5,3
HMR_6970,False,False,True,4,2
HMR_7642,False,False,True,5,4
HMR_8626,True,False,False,4,0
HMR_8628,True,False,False,3,0
HMR_3806,False,False,True,5,4
HMR_3807,False,False,True,5,4
HMR_3809,False,False,True,2,2
HMR_3816,False,False,True,4,3
HMR_3819,False,False,True,5,4
HMR_3820,False,False,True,5,4
HMR_3832,False,False,True,4,4
HMR_3833,False,False,True,5,4
HMR_3835,False,False,True,5,4
HMR_3837,False,False,True,5,4
HMR_3838,False,False,True,5,4
HMR_3895,False,False,True,5,4
HMR_3897,False,False,True,5,4
HMR_3956,False,False,True,1,1
HMR_3993,False,False,True,2,3
HMR_4073,False,False,True,5,4
HMR_4075,False,False,True,5,4
HMR_4077,False,False,True,5,4
HMR_4190,False,False,True,4,4
HMR_4191,False,False,True,5,3
HMR_4212,False,False,True,5,4
HMR_4422,False,False,True,5,4
HMR_4423,False,False,True,5,4
HMR_4424,True,False,False,2,0
HMR_4583,False,False,True,5,3
HMR_4606,False,False,True,4,3
HMR_4607,False,False,True,4,3
HMR_4776,False,False,True,5,4
HMR_4777,False,False,True,5,4
HMR_4778,False,False,True,5,4
HMR_4779,False,False,True,5,4
HMR_4780,False,False,True,5,4
HMR_4781,False,False,True,5,4
HMR_4784,False,False,True,4,3
HMR_4785,False,False,True,5,2
HMR_4786,False,False,True,4,4
HMR_4787,False,False,True,4,2
HMR_5384,False,False,True,5,4
HMR_6932,False,False,True,5,4
HMR_6935,False,False,True,5,4
HMR_6938,False,False,True,4,3
HMR_6940,False,False,True,2,4
HMR_6942,False,False,True,5,4
HMR_6945,False,False,True,5,4
HMR_6948,False,False,True,5,4
HMR_6951,False,False,True,5,4
HMR_6965,False,False,True,5,4
HMR_6966,False,False,True,5,4
HMR_8096,False,False,True,4,1
HMR_8097,False,False,True,4,1
HMR_8098,False,False,True,5,2
HMR_8416,False,False,True,5,3
HMR_8425,False,False,True,5,1
HMR_8426,False,False,True,4,3
HMR_8427,False,False,True,5,4
HMR_8431,False,False,True,5,3
HMR_8432,False,False,False,0,0
HMR_8603,False,False,True,5,4
HMR_8604,False,False,True,5,4
HMR_8605,False,False,True,5,4
HMR_8606,True,False,False,2,0
HMR_8607,False,False,False,0,0
HMR_8609,False,False,True,5,4
HMR_8610,False,False,True,2,1
HMR_8611,False,False,True,5,1
HMR_4285,False,False,True,1,1
HMR_0457,False,False,True,3,1
HMR_0460,False,False,True,3,1
HMR_3750,False,False,True,2,2
HMR_3752,False,False,True,5,3
HMR_3770,False,False,True,5,3
HMR_3771,False,False,True,2,2
HMR_3772,False,False,True,2,1
HMR_3782,False,False,True,2,2
HMR_3784,False,False,True,5,3
HMR_3839,False,False,True,5,4
HMR_3841,False,False,True,5,4
HMR_3843,False,True,False,0,4
HMR_3845,False,False,True,5,3
HMR_3847,False,False,True,5,4
HMR_3849,False,False,True,2,1
HMR_3852,False,False,True,5,4
HMR_3856,False,False,True,5,4
HMR_3860,False,False,True,5,4
HMR_3883,True,False,False,1,0
HMR_3901,True,False,False,1,0
HMR_3939,False,False,True,5,4
HMR_3974,False,False,False,0,0
HMR_4198,False,False,True,4,1
HMR_4199,False,False,True,5,1
HMR_4200,False,False,True,5,4
HMR_4284,True,False,False,5,0
HMR_4348,False,False,True,5,4
HMR_4467,False,False,True,2,4
HMR_4582,False,False,True,5,4
HMR_4584,False,False,True,4,3
HMR_4696,False,False,True,5,4
HMR_4697,False,False,True,2,2
HMR_4698,False,False,True,5,3
HMR_4699,False,False,True,5,4
HMR_4700,False,False,True,5,4
HMR_4742,False,False,True,5,4
HMR_4788,False,False,True,2,1
HMR_4789,True,False,False,2,0
HMR_4791,False,False,True,1,1
HMR_4792,False,False,True,5,4
HMR_5392,False,False,True,5,4
HMR_5393,True,False,False,2,0
HMR_6409,False,False,True,5,4
HMR_7702,False,False,True,5,4
HMR_7703,False,False,True,2,1
HMR_8433,True,False,False,2,0
HMR_8434,True,False,False,2,0
HMR_8435,True,False,False,2,0
HMR_8436,True,False,False,2,0
HMR_8437,True,False,False,2,0
HMR_8439,False,False,True,2,1
HMR_8440,False,False,True,2,1
HMR_8441,False,False,True,4,2
HMR_8442,False,False,True,3,4
HMR_4428,False,False,True,5,4
HMR_4429,False,False,True,5,2
HMR_4430,False,False,True,5,4
HMR_4431,False,False,True,4,3
HMR_4437,False,False,True,3,2
HMR_4658,False,False,True,2,1
HMR_4660,False,False,True,1,1
HMR_4712,False,False,True,3,2
HMR_5338,False,False,True,5,4
HMR_5339,False,False,True,5,4
HMR_8783,False,False,True,5,4
HMR_8784,False,False,True,5,4
HMR_4239,False,False,True,5,4
HMR_4288,False,False,True,5,4
HMR_4596,False,False,True,5,4
HMR_4597,True,False,False,1,0
HMR_4599,False,False,True,5,4
HMR_4667,False,False,True,2,4
HMR_4668,False,False,True,4,3
HMR_4737,False,False,True,4,2
HMR_4739,False,False,True,3,3
HMR_4740,False,False,True,5,3
HMR_6415,False,False,True,5,4
HMR_6974,False,False,True,5,4
HMR_6975,False,False,True,5,4
HMR_6976,False,False,True,5,4
HMR_6977,False,False,True,5,4
HMR_6978,False,False,True,4,3
HMR_6979,False,False,True,5,4
HMR_6980,False,False,True,5,4
HMR_6981,False,False,True,5,4
HMR_6982,False,False,True,5,4
HMR_8017,False,False,True,5,4
HMR_8018,False,False,True,5,4
HMR_8019,False,False,True,5,4
HMR_8021,False,False,True,2,1
HMR_8025,False,False,True,5,4
HMR_8026,False,False,True,5,4
HMR_8027,False,False,True,5,4
HMR_8029,False,False,True,4,4
HMR_3164,False,False,True,5,4
HMR_3166,False,False,True,5,4
HMR_3885,False,False,True,5,4
HMR_4250,False,False,True,4,2
HMR_8563,False,False,True,5,4
HMR_8564,True,False,False,1,0
HMR_8565,True,False,False,1,0
HMR_8566,True,False,False,2,0
HMR_3935,False,False,True,5,3
HMR_4681,False,False,True,5,4
HMR_4682,False,False,True,5,4
HMR_4683,False,False,True,3,3
HMR_4685,False,False,True,3,2
HMR_4686,False,False,True,5,3
HMR_4687,False,False,True,4,3
HMR_4702,False,False,True,5,2
HMR_4703,False,False,True,5,2
HMR_4704,False,False,True,5,2
HMR_7689,False,False,True,1,2
HMR_7701,False,False,True,2,1
HMR_8094,False,False,False,0,0
HMR_8529,False,False,True,5,4
HMR_8530,False,False,True,5,4
HMR_8533,False,False,False,0,0
HMR_8534,False,False,False,0,0
HMR_8535,True,False,False,3,0
HMR_8537,False,False,False,0,0
HMR_8541,False,False,True,5,4
HMR_8542,False,False,False,0,0
HMR_8540,False,False,False,0,0
HMR_9733,False,False,True,5,4
HMR_9734,False,False,False,0,0
HMR_3206,False,False,True,5,4
HMR_3208,False,False,True,5,3
HMR_3211,False,False,True,5,3
HMR_3213,False,False,True,5,3
HMR_3215,False,False,True,5,4
HMR_3747,False,False,True,1,2
HMR_3744,False,False,True,5,4
HMR_3757,False,False,True,5,4
HMR_3761,False,False,True,5,4
HMR_3777,False,False,True,4,4
HMR_3778,False,False,True,5,3
HMR_3795,False,False,True,5,4
HMR_4797,False,False,True,5,4
HMR_6417,False,False,True,5,3
HMR_6419,False,False,True,5,3
HMR_6420,False,False,True,5,3
HMR_6421,False,False,True,5,3
HMR_6422,False,False,True,5,3
HMR_6923,False,False,True,3,4
HMR_3765,False,False,True,5,3
HMR_6924,False,False,False,0,0
HMR_8088,False,False,True,5,4
HMR_8787,False,False,True,5,2
HMR_3940,False,False,True,2,1
HMR_4214,False,False,True,5,3
HMR_4216,False,False,True,5,3
HMR_4218,False,False,True,5,3
HMR_4219,False,False,True,5,3
HMR_4220,False,False,True,4,2
HMR_4222,True,False,False,1,0
HMR_4224,False,False,True,2,1
HMR_4225,False,False,True,4,2
HMR_4231,True,False,False,2,0
HMR_4232,False,False,True,1,3
HMR_4233,False,False,False,0,0
HMR_4235,False,False,False,0,0
HMR_4242,False,False,True,5,4
HMR_4243,False,False,True,5,4
HMR_4244,True,False,False,1,0
HMR_4245,True,False,False,1,0
HMR_4246,True,False,False,1,0
HMR_6707,False,False,True,5,4
HMR_6713,False,False,True,5,4
HMR_6714,False,False,True,5,4
HMR_6725,False,False,True,5,4
HMR_6726,False,False,True,2,1
HMR_6728,False,False,False,0,0
HMR_6729,False,False,False,0,0
HMR_6730,False,False,True,5,4
HMR_6731,False,False,True,5,4
HMR_6734,False,False,True,5,4
