sample,rxn_id,rxn_name,gpr,orig_lb,orig_ub,was_active_uptake,is_essential_nutrient,nutrient_label,genes,gene_scores,min_score,max_score,all_below_threshold,removal_cause
Lung_Healthy,HMR_9132,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9134,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9137,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9138,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9139,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9140,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9141,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9142,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9163,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9165,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9171,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9172,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9201,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9203,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9209,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9210,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9212,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9215,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9216,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9217,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9218,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9219,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9220,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9221,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9222,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9224,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9225,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9228,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9229,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9230,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9231,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9234,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
